Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-09-01,1.1328129768371582,76.4375,51.15034484863281,54.75,18.65625,,68.5625,42.734375,38.4734992980957,,129.625,48.5625,37.5985107421875,127.74856567382812,73.9375,46.3125,56.3125,27.125,29.5625,46.25,66.01860809326172,35.09375,5.109375,30.6875,46.8125,11.742188453674316,,39.626407623291016,33.4375,48.75
2000-09-05,1.114954948425293,72.5,52.29917526245117,55.4375,19.03125,,66.0,42.96875,38.10356140136719,,128.8125,50.125,37.89643859863281,125.41825866699219,69.25,46.625,57.125,28.15625,29.6875,46.125,64.06548309326172,35.0625,5.210937976837158,31.25,47.125,11.796875,,39.120540618896484,33.9375,49.75
2000-09-06,1.0435270071029663,68.0625,52.518001556396484,57.8125,19.34375,,64.25,44.0625,39.459999084472656,,128.125,50.625,38.96897888183594,125.65726470947266,65.703125,46.625,56.0,27.15625,30.125,47.0625,62.97710037231445,34.71875,5.0,31.71875,48.3125,11.5625,,38.33363342285156,33.5625,50.0
2000-09-07,1.1071430444717407,72.0,51.916229248046875,58.5,19.03125,,66.25,44.15625,40.93975067138672,,128.6875,50.5,36.46638488769531,127.50955963134766,67.4375,46.71875,57.25,27.0,29.5,45.8125,64.16984558105469,35.03125,4.828125,31.3125,48.375,11.476563453674316,,39.23295593261719,33.625,51.0
2000-09-08,1.051339030265808,74.9375,53.0650634765625,58.125,18.90625,,63.875,43.34375,39.706626892089844,,124.25,52.9375,33.3679313659668,123.80496978759766,65.375,47.234375,57.8125,27.28125,28.75,44.96875,64.43821716308594,34.65625,4.890625,31.71875,49.3125,11.3125,,39.85123825073242,35.1875,52.125
2000-09-11,1.0435270071029663,72.25,54.1044807434082,58.625,19.15625,,61.1875,44.65625,39.39834213256836,,132.0,54.25,34.857574462890625,119.02485656738281,64.6875,47.5078125,57.5,26.5,28.375,44.46875,64.82585906982422,34.40625,4.578125,31.34375,50.625,11.6875,,40.52573013305664,35.75,54.375
2000-09-12,1.03125,72.75,53.72153854370117,59.0,19.0,,58.875,44.28125,38.10356140136719,,131.3125,55.875,35.27467346191406,119.50286865234375,64.9375,48.3125,52.8125,26.75,29.0,44.03125,64.60221862792969,34.0625,4.970703125,31.53125,49.75,11.429688453674316,,40.35710906982422,37.875,54.0
2000-09-13,1.035714030265808,71.9375,53.666831970214844,59.4375,19.34375,,61.3125,44.3125,39.459999084472656,,128.5,54.75,35.75135803222656,122.07218170166016,61.25,48.8125,50.6875,26.25,27.1875,43.25,65.19859313964844,34.125,4.828125,31.25,48.5,11.4375,,39.00812530517578,37.875,53.875
2000-09-14,1.0153460502624512,67.4375,53.22917938232422,58.375,19.625,,61.25,43.7890625,38.84343719482422,,129.0,55.5,35.810943603515625,121.29541015625,59.625,47.96875,50.0,25.5,27.25,42.5,64.46803283691406,32.90625,4.8125,30.6484375,49.4375,11.8125,,39.120540618896484,38.375,52.5
2000-09-15,0.9863280057907104,67.625,51.916229248046875,56.875,18.71875,,62.75,45.09375,38.658470153808594,,124.875,54.25,34.79798889160156,119.50286865234375,57.515625,47.5,49.125,25.40625,28.0,42.5625,64.1102066040039,32.09375,4.71875,31.25,48.8125,11.585938453674316,,40.01986312866211,38.1875,52.0
